date,ticker,open,high,low,close,volume_shares,turnover_value,free_float_shares,sector,industry,board,ret_1,ret_5,ret_20,ma_10,ma_20,ma_50,dist_ma_20_pct,dist_ma_50_pct,range_pct,true_range_pct,atr_14_pct,vol_20_mean,vol_20_std,volume_z20,high_20,low_20,close_loc_20,compression_score,trend_eff_20,breakout_tension,up_vol_10,down_vol_10,pullback_quality,phase,phase_confidence,institutional_support,acc_inventory_strength,institutional_participation_score,retail_participation_score,institutional_resistance,distribution_overhang,broker_alignment_score,foreign_net_20d,foreign_alignment_score,regime,macro_alignment_score,macro_headwind_score,broker_profile_confidence_mean,future_max_return,future_min_return,label_ready_long,support_distance_pct,resistance_headroom_pct,resistance_headroom_score,dry_score,wet_score,false_breakout_risk,phase_deterioration_score,tape_conviction_score,tape_weakness_score,transfer_suspicion,spoof_risk_score,book_support_score,book_pressure_down_score,offer_consumption_score,bid_consumption_score,microstructure_strength_score,microstructure_weakness_score,gulungan_up_score,gulungan_down_score,effort_result_up,effort_result_down,post_up_followthrough_score,post_down_followthrough_score,absorption_after_up_score,absorption_after_down_score,bullish_burst_score_intraday,bearish_burst_score_intraday,bull_trap_score_intraday,bear_trap_score_intraday,dominant_burst_direction,dominant_event_label,acc_inventory_strength_scaled,distribution_overhang_scaled,foreign_net_20d_scaled,volume_z20_scaled,accumulation_quality_score,breakout_integrity_score,distribution_risk_score,climax_up_risk,climax_vs_continuation_score,capitulation_down_risk,bullish_burst_score,bull_trap_score,bearish_burst_score,bear_trap_score,burst_signal,trap_signal,down_burst_signal,bear_trap_signal,dominant_burst_label_context,model_prob_raw,calibrated_prob,rule_long_score,rule_rebound_score,confidence,blended_long_prob,verdict,why_now,invalidation,burst_note
2025-08-01,AAA,119.87,121.18,119.0,120.62,952088,114484254,500000000.0,Industrial,Industrial Services,REG,,,,,,,,,1.8073288011938373,,,,,,,,,,,50.0,,,,ACCUMULATION,50.0,120.61999999999999,713.0,50.0,50.0,120.62,54.0,50.0,,50,CHOP,50,50,80.0,0.01848781296634039,-0.06690432764052401,0.0,2.220446049250313e-14,0.0,0.0,66.156429942421,33.843570057579,40.0,35,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,20.0,20.0,20.0,20.0,,,88.86107634532058,3.838771593082843,50.0,50.0,68.40538160701726,54.4,29.436564299422294,46.40602687140026,55.8031677192437,41.21384836852131,29.802683110963784,35.99678790786904,22.0722715930901,33.929206333973184,WEAK_OR_NO_UP_BURST,LOW_TRAP_RISK,WEAK_OR_NO_DOWN_BURST,LOW_BEAR_TRAP_RISK,NO_BURST,0.08531158924173929,0.03125,36.724292833441424,33.80498002879108,53.171380126309245,0.28324469625081067,WATCH,broker accumulation kuat; barang relatif kering,close di bawah 120.62 atau gagal tembus 120.62,tidak ada burst dominan
2025-08-04,AAA,120.66,122.85,119.35,119.43,1414845,169847534,500000000.0,Industrial,Industrial Services,REG,-0.009865693914773654,,,,,,,,2.9305869547014987,2.9305869547014987,,,,,,,,,,50.0,5306687.0,5883772.0,-0.10874675668642197,ACCUMULATION,48.91253243313578,120.0126305744048,1441.3500000000001,49.99999999999999,49.99999999999999,120.14053138496418,51.20500000000002,50.0,,50,CHOP,50,50,80.0,0.008708029808255802,-0.05760696642384666,0.0,-0.4854743801683159,0.5949354307662746,99.99999990057108,66.15819514617736,33.84180485382264,61.57682795206733,35,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,20.0,20.0,20.0,20.0,,,97.68740468188724,2.9016130964667637,50.0,50.0,70.7967923168954,43.617023361800655,31.856706779453077,35.12622653437958,60.252953331827754,41.69761208396401,30.022475734953364,34.98963847779288,22.26590946954891,33.97767096570527,WEAK_OR_NO_UP_BURST,LOW_TRAP_RISK,WEAK_OR_NO_DOWN_BURST,LOW_BEAR_TRAP_RISK,NO_BURST,0.12413622628643231,0.03125,35.10147266693697,33.78968096458288,53.466111535109206,0.2710735450020273,WATCH,broker accumulation kuat; barang relatif kering,close di bawah 120.01 atau gagal tembus 120.14,tidak ada burst dominan
2025-08-05,AAA,119.34,120.0,118.15,119.6,1089104,130115380,500000000.0,Industrial,Industrial Services,REG,0.0014234279494262925,,,119.88333333333333,,,,,1.5468227424749117,1.5468227424749117,,,,,,,,,,50.0,7248606.0,5647704.0,0.22085653434605235,ACCUMULATION,52.20856534346052,119.88367661077237,2028.6854250000001,50.0,50.0,119.90903565907148,114.43692500000003,50.0,,50,CHOP,50,50,80.0,0.010451505016722429,-0.05894648829431437,0.0,-0.2366265523315536,0.258391019290527,80.35513627361274,65.2765340363221,34.723465963677896,52.8686075067048,35,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,20.0,20.0,20.0,20.0,,,99.99999999994901,8.245815904903015,50.0,50.0,71.27856499098709,47.954653419930295,31.967642275696257,36.96524233283864,60.082862814562425,41.85204834969093,29.962888815889418,35.26725294343647,22.26155939260054,33.9490315367852,WEAK_OR_NO_UP_BURST,LOW_TRAP_RISK,WEAK_OR_NO_DOWN_BURST,LOW_BEAR_TRAP_RISK,NO_BURST,0.12413622628643231,0.03125,35.8507401528565,33.69414832504199,54.170827913308806,0.2766930511464238,WATCH,broker accumulation kuat; barang relatif kering,close di bawah 119.88 atau gagal tembus 119.91,tidak ada burst dominan
2025-08-06,AAA,119.77,120.11,116.79,118.58,763475,90988918,500000000.0,Industrial,Industrial Services,REG,-0.008528428093645402,,,119.5575,,,,,2.7997976049924045,2.7997976049924045,,,,,,,,,,50.0,7859381.0,4991054.0,0.36495584066989506,ACCUMULATION,53.64955840669895,119.50786462788574,2772.35880375,50.00000000000001,50.00000000000001,119.46322304253033,146.7203711249999,50.0,,50,CHOP,50,50,80.0,0.019143194467869717,-0.050851745656940506,0.0,-0.7764046581995698,0.744833059985095,87.64709094638593,65.9284736014821,34.0715263985179,52.237558499563704,35,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,20.0,20.0,20.0,20.0,,,99.99999999996312,7.618268344364548,50.0,50.0,71.68922775889183,48.262972958184655,31.6355311296072,35.57998163860169,61.028367817012054,41.68783518569913,30.14963541392727,35.04692736019232,22.244769594390807,33.965207198644016,WEAK_OR_NO_UP_BURST,LOW_TRAP_RISK,WEAK_OR_NO_DOWN_BURST,LOW_BEAR_TRAP_RISK,NO_BURST,0.1355660356742463,0.03125,36.17087944052824,33.76638993660991,54.601306987515215,0.2790940958039618,WATCH,broker accumulation kuat; barang relatif kering,close di bawah 119.51 atau gagal tembus 119.46,tidak ada burst dominan
2025-08-07,AAA,117.75,119.89,116.58,118.18,1217860,143664966,500000000.0,Industrial,Industrial Services,REG,-0.0033732501264968073,,,119.282,119.282,,-0.9238611022618581,,2.800812320189543,2.800812320189543,,1087474.4,248736.63709494023,0.5241913757571335,122.85,116.58,0.25518341303745234,,,25.518341303745235,8045428.0,3636022.0,0.5480635710120083,ACCUMULATION,46.91205516643092,119.20783940428605,3550.114153494375,58.52553887893544,41.94764985553275,119.23829448572197,162.90240258187492,66.57788902340269,848.0,70,CHOP,50,50,75.88989954357498,0.022592655271619355,-0.04763919444914544,0.0,-0.8622246736644468,0.8954937262835916,83.03859754023654,64.37432167841398,35.62567832158602,41.80593329342185,35,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,20.0,20.0,20.0,20.0,,,99.99999999997112,6.283699632900832,81.25869262862265,58.50316408441799,75.51739900918973,44.96795296121095,27.15919603800948,30.449826430458685,62.90365711116472,41.0256909558398,30.918435320517666,34.46551027710495,21.863350508216968,33.82128517950468,WEAK_OR_NO_UP_BURST,LOW_TRAP_RISK,WEAK_OR_NO_DOWN_BURST,LOW_BEAR_TRAP_RISK,NO_BURST,0.05693251945890811,0.0,37.22298516948558,33.62788944187017,53.975878935183566,0.27917238877114187,WATCH,broker accumulation kuat; barang relatif kering,close di bawah 119.21 atau gagal tembus 119.24,tidak ada burst dominan
2025-08-08,AAA,117.39,119.14,116.75,117.2,1196898,140390642,500000000.0,Industrial,Industrial Services,REG,-0.008292435268234977,-0.028353506881114265,,118.935,118.935,,-1.4587800058855627,,2.0392491467576797,2.0392491467576797,2.4234537538232077,1105711.6666666667,226917.42788835472,0.4018480827228365,122.85,116.58,0.09888357255201298,,0.9095744678432044,9.888357255201297,4523960.0,7254944.0,-0.6036711199922189,ACCUMULATION,40.16357553547838,118.93356016933015,3979.8624411919586,52.06193250817851,49.91949464207021,118.90190985636201,189.45886654314685,52.142437866108295,864.0,70,CHOP,50,50,70.43582199599733,0.031143344709897436,-0.0396757679180888,0.0,-1.4575870484848985,1.452141515667238,91.04228852585511,61.981915096432076,38.018084903567924,53.68255663729854,35,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,20.0,20.0,20.0,20.0,,,99.9999999999741,7.33473589774695,80.57395143485317,64.37349098580567,71.5922332718297,33.908394041339406,30.454742907566555,29.823859367223605,60.69630257354268,42.043661317048496,29.846755674746657,34.80693157245748,22.091108159051807,33.803461886526456,WEAK_OR_NO_UP_BURST,LOW_TRAP_RISK,WEAK_OR_NO_DOWN_BURST,LOW_BEAR_TRAP_RISK,NO_BURST,0.0648913847077971,0.0,33.35591163409052,33.34949461401284,51.57184156615004,0.2501693372556789,WATCH,broker accumulation kuat; barang relatif kering,close di bawah 118.93 atau gagal tembus 118.90,tidak ada burst dominan
2025-08-11,AAA,116.88,117.09,113.92,115.02,1067471,123771015,500000000.0,Industrial,Industrial Services,REG,-0.01860068259385672,-0.03692539562923902,,118.37571428571428,118.37571428571428,,-2.834799608993155,,2.7560424274039312,2.851677969048862,2.4948244563608166,1100248.7142857143,207649.96068842575,-0.1578508090107294,122.85,113.92,0.12318029113962094,,0.9427609426022329,12.318029113962094,6034384.0,5320574.0,0.11829045019342499,ACCUMULATION,49.06323825687681,118.35933721478011,4540.982793062819,52.27365633510949,49.74064255229809,118.15240919053123,288.6169835449997,52.5330137828114,1170.0,70,CHOP,50,50,71.41890566042619,0.05068683707181365,-0.02147452616936185,0.0,-2.821355115161217,2.723360450818313,99.99999997134108,64.01576257875013,35.98423742124987,45.520031905361776,35,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,20.0,20.0,20.0,20.0,,,99.99999999997743,9.15202542375117,86.21917808216816,33.241398760788286,73.2630350481437,35.78507699372291,29.323659534968684,26.98728854844113,63.38711298194994,41.51236752018122,30.46486945829001,34.263335573717534,22.03112920147875,33.85202488095563,WEAK_OR_NO_UP_BURST,LOW_TRAP_RISK,WEAK_OR_NO_DOWN_BURST,LOW_BEAR_TRAP_RISK,NO_BURST,0.0648913847077971,0.0,34.61479133404569,33.57547384432078,53.97063465359803,0.2596109350053427,WATCH,broker accumulation kuat; barang relatif kering,close di bawah 118.36 atau gagal tembus 118.15,tidak ada burst dominan
2025-08-12,AAA,114.84,114.94,112.55,114.78,1441083,165447069,500000000.0,Industrial,Industrial Services,REG,-0.0020865936358893666,-0.0403010033444815,,117.92625,117.92625,,-2.6679810474766974,,2.0822442934309118,2.1519428471859197,2.4458413693358314,1142853.0,226891.42969144645,1.3144172100531377,122.85,112.55,0.21650485434791258,,0.9449838186173204,21.650485434791257,7587627.0,4524116.0,0.40375086967242857,ACCUMULATION,55.23977406433424,118.06569845089848,4893.868051166875,54.041279022776685,47.99448487282121,117.69865450734686,268.2877287918246,56.046794149955474,1366.0,70,CHOP,50,50,73.93771526953286,0.05288377766161356,-0.004791775570656909,0.0,-2.782940764344821,2.542824975907698,99.99999996806191,66.42332198005747,33.576678019942534,43.98282921201712,35,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,20.0,20.0,20.0,20.0,,,98.06622857748094,7.567457826407999,87.70629036113662,99.99999995596282,74.86384708975056,46.781375191503024,28.043207546586416,27.41897431511776,65.40988470318487,40.89514321230866,31.0948903874814,34.00172561083535,21.964806433427775,33.91068042023374,WEAK_OR_NO_UP_BURST,LOW_TRAP_RISK,WEAK_OR_NO_DOWN_BURST,LOW_BEAR_TRAP_RISK,NO_BURST,0.06598806613295596,0.0,37.528341710954976,33.84260175065703,55.874462290879656,0.2814625628321623,WATCH,broker accumulation kuat; barang relatif kering,close di bawah 118.07 atau gagal tembus 117.70,tidak ada burst dominan
2025-08-13,AAA,114.66,118.54,114.23,117.51,2047635,237698410,500000000.0,Industrial,Industrial Services,REG,0.023784631468896977,-0.009023444088379073,,117.88000000000001,117.88000000000001,,-0.3138785205293537,,3.667772955493151,3.667772955493151,2.598582817605496,1243384.3333333333,368786.7901579449,2.180801178703332,122.85,112.55,0.48155339801150054,,0.34904601567350835,48.155339801150056,9881680.0,2125423.0,0.7849127881089046,ACCUMULATION,53.429647203329274,117.97335302387695,5843.695881450387,52.59929765791573,50.06410125399232,117.70183673422318,206.26341285994732,52.53519640392341,1439.0,70,CHOP,50,50,71.85823465467868,0.028423112926559302,-0.022210875670155672,0.0,-0.39276074808449746,0.1632514119846551,44.5280274013075,66.71141368168466,33.28858631831534,37.76263511863686,35,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,20.0,20.0,20.0,20.0,,,99.99999999998239,5.192801369468878,86.3459879206026,99.99999996691189,74.84314930291185,59.699299609843386,27.086893738456325,38.533588139126245,61.35829822037665,40.660666695438564,31.014681835632853,35.03656213266697,21.892622704301772,33.90163735362809,WEAK_OR_NO_UP_BURST,LOW_TRAP_RISK,WEAK_OR_NO_DOWN_BURST,LOW_BEAR_TRAP_RISK,NO_BURST,0.07431898029513023,0.03125,39.903270032075454,33.87970642153906,53.61550632973908,0.3070870252405659,WATCH,broker accumulation kuat; barang relatif kering,close di bawah 117.97 atau gagal tembus 117.70,tidak ada burst dominan
2025-08-14,AAA,116.71,118.69,116.01,117.78,1359210,159354089,500000000.0,Industrial,Industrial Services,REG,0.002297676793464376,-0.0033846674564224077,,117.87,117.87,117.87,-0.07635530669382051,-0.07635530669382051,2.275428765494984,2.275428765494984,2.5626768118154395,1254966.9,349619.41201396263,0.2981616478316046,122.85,112.55,0.5077669902419649,1.3817534131671465,0.30936819168743374,50.77669902419649,6997162.0,4028617.0,0.4242498601575897,ACCUMULATION,40.02489873486394,117.95651334034285,6260.04044322863,51.48802383477521,51.280835340858054,117.714538089958,203.1694616670482,50.20718849391716,1552.0,70,CHOP,50,50,70.07687585292288,0.026065545933095624,-0.024452368823229764,0.0,-0.1496427245467613,-0.05557981834097836,38.288045895638625,45.8943847439306,54.1056152560694,44.62135083865383,35,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,20.0,20.0,20.0,20.0,,,94.95361354366187,4.561995917534524,82.10253562833941,54.52105312220975,67.22893541098436,45.72057301446902,32.56238164261657,46.15009997481894,51.954221060005445,44.878318616933726,27.153804904230118,38.15369060521966,22.018406302568287,33.282551098889904,WEAK_OR_NO_UP_BURST,LOW_TRAP_RISK,WEAK_OR_NO_DOWN_BURST,LOW_BEAR_TRAP_RISK,NO_BURST,0.1784048815392076,0.03125,31.78217425431746,31.605791836696994,49.32420935122146,0.24617880690738098,WATCH,broker accumulation kuat,close di bawah 117.96 atau gagal tembus 117.71,tidak ada burst dominan
